"Забайкальский государственный университет"
"id","Дата","Текст"
"321","16 ОКТ 2023","Стать студентом еще не поздно"
"322","16 ОКТ 2023","""Территория притяжения"": будущие журналисты из Москвы и Урала пройдут..."
"323","16 ОКТ 2023","Выбираем профессию осознанно. Профориентационный проект «Энергоклассы»"
"324","14 ОКТ 2023","Горные университеты Забайкалья и Санкт-Петербурга запустили программу обмена..."
"325","13 ОКТ 2023","Студенческое объединение ""ИРИС"" приглашает всех желающих российских и..."
"326","13 ОКТ 2023","Лидерами становятся! Делегация ЗабГУ участвует в Фестивале лучших практик программы..."
"327","13 ОКТ 2023","Директор регионального филиала российского общества «Знание» Ирина Грешилова..."
"328","12 ОКТ 2023","Цифровые кафедры ЗабГУ"
"329","12 ОКТ 2023","Ежегодный Всероссийский диктант по английскому языку прошел на базе ЗабГУ на..."
"330","12 ОКТ 2023","Три дня осталось до Всероссийского чемпионата по алгоритмическому программированию..."
"331","11 ОКТ 2023","Поздравляем с успешной защитой диссертации!"
"332","11 ОКТ 2023","Президент Федерации регби Забайкальского края Александр Сетов и и.о. ректора ЗабГУ..."
"333","11 ОКТ 2023","Забайкальский государственный университет преображается в преддверии 85-летнего юбилея!"
"334","10 ОКТ 2023","Всероссийский экономический диктант пройдет завтра во всех регионах России...."
"335","10 ОКТ 2023","RuCode продлевает отборы и регистрацию на Чемпионат по алгоритмическому..."
"336","10 ОКТ 2023","Жить и создавать в России! Под таким девизом в Хабаровске прошёл окружной этап..."
"337","9 ОКТ 2023","Быстринский ГОК совместно с Горной академией ЗабГУ запустил программу подготовки..."
"338","9 ОКТ 2023","Центр компетенций ЗабГУ запускает проект ""карьера в Сбере"""
"339","7 ОКТ 2023","Участвуй в ежегодном Всероссийском инженерном конкурсе!"
"340","7 ОКТ 2023","Иннокентьевские чтения – визитная карточка кафедры литературы ИФФ ЗабГУ!"
"341","6 ОКТ 2023","Первая встреча учеников Школы молодых педагогов"
"342","5 ОКТ 2023","Сделай первый шаг к своему бизнес-стартапу!"
"343","5 ОКТ 2023","Как отпраздновали День учителя в Лицее ЗабГУ"
"344","5 ОКТ 2023","Праздник тех, кто несёт свет знаний!"
"345","5 ОКТ 2023","Активный и любишь участвовать в различным мероприятиях? Мы за тебя очень рады! И..."
"346","4 ОКТ 2023","Обзор событий ЗабГУ"
"347","4 ОКТ 2023","А ты подал заявку на участие в Забайкальской малой академии наук?"
"348","4 ОКТ 2023","Спокойно! Проверка сирены"
"349","4 ОКТ 2023","В ЗабГУ отметили Праздник середины осени и День образования КНР"
"350","3 ОКТ 2023","Открыт набор на военно-учётную специальность «Старший стрелок» в Военном учебном..."
"351","3 ОКТ 2023","Хочешь стать частью большого международного молодёжного сообщества?"
"352","3 ОКТ 2023","Первые в России! На базе ЗабГУ стартовали курсы повышения квалификации по..."
"353","2 ОКТ 2023","Академия современного бурятского искусства и оружейного дела приглашает студентов..."
"354","2 ОКТ 2023","Старт для бизнеса"
"355","2 ОКТ 2023","Флешмоб, от которого захватывает дух"
"356","29 СЕН 2023","Итоги недели!"
"357","28 СЕН 2023","Для желающих получить высшее образование без отрыва от работы!"
"358","28 СЕН 2023","Не кочегары мы, не плотники… И даже не монтажники-высотники! Подсказка: тоже носим..."
"359","28 СЕН 2023","Учеба учебой, а обед по расписанию!"
"360","27 СЕН 2023","Такой меткости мог бы позавидовать и знаменитый Робин Гуд"
"361","27 СЕН 2023","Студенты и и.о. декана факультета строительства и экологии продолжают обучение в..."
"362","27 СЕН 2023","Под их чутким руководством прокладываются интереснейшие маршруты, туры отвечают ..."
"363","27 СЕН 2023","Стипендию Совета финансового рынка в размере 120 тысяч рублей получили две..."
"364","27 СЕН 2023","Активистка студенческого социально-педагогического отряда «Ойкос» стала участником..."
"365","27 СЕН 2023","На базе Многопрофильного лицея ЗабГУ состоялось открытие трех горных классов для..."
"366","26 СЕН 2023","Горизонты сотрудничества расширились: делегация ЗабГУ работает в Китае"
"367","25 СЕН 2023","Открытые лекции на тему востоковедения сегодня в ЗабГУ проводит выдающийся..."
"368","25 СЕН 2023","Поделись своим знанием!"
"369","25 СЕН 2023","Выдающиеся педагоги"
"370","25 СЕН 2023","Код будущего"
"371","22 СЕН 2023","Осторожно, мошенники! ЗабГУ совместно с Управлением МВД России по Забайкальскому..."
"372","22 СЕН 2023","️А ты уже зарядился студенческой «Энергией жизни»?"
"373","22 СЕН 2023","Как увеличить добычу золота в разы. Ученые ЗабГУ презентовали инновационную..."
"374","21 СЕН 2023","Хотим рассказать вам об очень интересном мероприятии!"
"375","21 СЕН 2023","Тепленькая пошла: отопление дали во всех учебных корпусах и общежитиях ЗабГУ"
"376","21 СЕН 2023","Математика, физика, информатика: преподаватели МФТИ начали проводить занятия для..."
"377","21 СЕН 2023","Сотрудники ЗабГУ и преподаватели из Сербии издали книгу"
"378","20 СЕН 2023","Студенты и преподаватели Гуманитарно-технического колледжа ЗабГУ осваиваются на..."
"379","20 СЕН 2023","Твой ход"
"380","19 СЕН 2023","В ЗабГУ новое назначение"
"381","19 СЕН 2023","В Чите прошёл IV Городской открытый интегрированный фестиваль «Inclusive Fest», в..."
"382","19 СЕН 2023","ЗабГУ, МФТИ и Highland Gold запустили программу для мотивированных студентов"
"383","18 СЕН 2023","ЗабГУ в числе организаторов международной конференции"
"384","18 СЕН 2023","Первокурсники ЗабГУ сразились в игре «Что? Где? Когда?»"
"385","18 СЕН 2023","Путешествие в прошлое, остановка в настоящем и взгляд в будущее!"
"386","18 СЕН 2023","Студенты из КНР приступили к обучению в магистратуре по направлению Туризм!"
"387","15 СЕН 2023","Итоги новостной недели ЗабГУ!"
"388","15 СЕН 2023","Агинская земля встречает гостей!"
"389","15 СЕН 2023","Ты ещё не знаешь о проекте «Твой Ход»? Тогда мы идём к тебе!"
"390","15 СЕН 2023","Новый предмет «Основы российской государственности» начали преподавать в ЗабГУ."
"391","14 СЕН 2023","В горные инженеры я пойду, пусть меня научат!"
"392","13 СЕН 2023","Знаете, кто стал лучшим среди спортсменов со всей страны на состязаниях по..."
"393","13 СЕН 2023","Центр оценки и развития компетенций ЗабГУ отмечен на ВЭФ-23"
"394","13 СЕН 2023","Первокурсник, ты уже влился с яркую жизнь ЗабГУ?"
"395","13 СЕН 2023","«Что? Где? Когда?» для первокурсников"
"396","13 СЕН 2023","Выборы ректора ЗабГУ"
"397","12 СЕН 2023","Курс на Восток!"
"398","12 СЕН 2023","Прошлое, настоящее, будущее в одном концерте."
"399","12 СЕН 2023","«Ойкос» ЗабГУ с Законодательным собранием региона"
"400","12 СЕН 2023","Вышло в свет учебное пособие «Технологии медиатекста»"
"401","12 СЕН 2023","Партнёр ЗабГУ - ”Удоканская медь” запустила производство меди на одном из..."
"402","12 СЕН 2023","ЗабГУ в центре масштабного и яркого события этой осени – VIII Восточного..."
"403","11 СЕН 2023","Студенты социологи провели экзитпол на выборах 2023"
"404","11 СЕН 2023","Сильные люди"
"405","11 СЕН 2023","Полсотни китайских студентов прибыли на языковую стажировку в ЗабГУ!"
"406","8 СЕН 2023","Заслуженные награды"
"407","8 СЕН 2023","Федеральная стипендия у двух магистрантов ЗабГУ!"
"408","8 СЕН 2023","Новый учебный год в ЗабГУ начался: каким он будет?"
"409","7 СЕН 2023","ТОП востребованных специальностей в ЗабГУ"
"410","7 СЕН 2023","Помощь фронту и поддержка членов семей участников СВО оказывается в ЗабГУ"
"411","6 СЕН 2023","Библиографический указатель, имени Лидии Бордонской, представила Научная библиотека..."
"412","6 СЕН 2023","Обучение служением! ЗабГУ вошел в число 100 российских вузов, которые участвуют в..."
"413","6 СЕН 2023","Студентка ЗабГУ завоевала две золотые медали"
"414","6 СЕН 2023","ЗабГУ и ВТБ подписали соглашение о расширении сотрудничества"
"415","5 СЕН 2023","Команда ЗабГУ встретилась с журналистами, чтобы рассказать, чем сегодня живет..."
"416","5 СЕН 2023","Люди в масках, кубик Рубика, браслет-оберег: и чего только интересного не..."
"417","4 СЕН 2023","Более 20 студентов ЗабГУ отправились на языковую стажировку в Китай."
"418","31 АВГ 2023","Проект преподавателей ЗабГУ, сотрудников ИРО и учителей школ г. Читы..."
"419","31 АВГ 2023","Августовская конференция педагогических работников образования"
"420","31 АВГ 2023","С новосельем, первокурсник: в общежития ЗабГУ идет активное заселение"
"421","30 АВГ 2023","ЗабГУ поможет стать Забайкалью центром новой системы подготовки востоковедов и..."
"422","30 АВГ 2023","Все, что нужно знать про заселение в общежития"
"423","30 АВГ 2023","О России с любовью: Общество «Знание» запускает новый патриотический проект Знание..."
"424","30 АВГ 2023","День знаний на отлично: российские города от Сочи до Новосибирска станут площадками..."
"425","29 АВГ 2023","Фестиваль настольных спортивных игр прошел во всех районах Забайкалья"
"426","29 АВГ 2023","Инклюзивные волонтеры ЗабГУ провели мероприятие на городском празднике ""..."
"427","28 АВГ 2023","А ты подал заявку на участие в Забайкальской малой академии наук?"
"428","28 АВГ 2023","Состоялся первый краевой слет ""Горные классы"""
"429","28 АВГ 2023","Как пройдёт День знаний в ЗабГУ для первокурсников?"
"430","28 АВГ 2023","Собрание первокурсников ЗабГУ, имеющих ограничения по здоровью, пройдет 30 августа..."
"431","28 АВГ 2023","Расписание организационных собраний факультетов 1 сентября для первокурсников"
"432","28 АВГ 2023","Летняя Горная школа ЗабГУ завершилась!"
"433","27 АВГ 2023","В ЗабГУ объявили дополнительный набор на обучение по профилю ""Менеджмент..."
"434","27 АВГ 2023","Хочешь работать в органах прокуратуры? Выпускник ЗабГУ о своей карьере"
"435","27 АВГ 2023","Совместная образовательная программа с МФТИ и Highland Gold"
"436","26 АВГ 2023","Забайкальский государственный университет поздравляет Харанорский угольный разрез с..."
"437","25 АВГ 2023","Осторожно, мошенники!"
"438","25 АВГ 2023","Чемпионат по горному делу ""Я - будущее Забайкалья!"""
"439","25 АВГ 2023","Как запустить собственный стартап-проект и победить в конкурсе ПромТех 2.3"
"440","25 АВГ 2023","Многопрофильный лицей ЗабГУ стал лучшим среди школ Забайкалья"
"441","24 АВГ 2023","Хочешь стать участником конкурса грантов на обучение для аспирантов ЗабГУ? Тогда..."
"442","24 АВГ 2023","Осенний кубок Международного инженерного чемпионата «CASE-IN»"
"443","24 АВГ 2023","Конкурс на замещение вакантных должностей научных работников"
"444","24 АВГ 2023","Медиа на 360"
"445","24 АВГ 2023","История в экспонатах"
"446","24 АВГ 2023","Мозговой Рост-2023"
"447","24 АВГ 2023","Дополнительный набор в магистратуру"
"448","23 АВГ 2023","35-летний юбилей Забайкальской общественной организации Всероссийского общества..."
"449","23 АВГ 2023","На факультете строительства и экологии ЗабГУ открылось студенческое коворкинг..."
"450","23 АВГ 2023","Летняя Горная школа ЗабГУ. Какая она?"
"451","23 АВГ 2023","Молодежный день VIII Всероссийской недели охраны труда"
"452","23 АВГ 2023","Волонтеры ЗабГУ о праздновании Дня флага России"
"453","22 АВГ 2023","ЗабГУ принимает участие в международном форуме технологического развития «Технопром..."
"454","22 АВГ 2023","Дополнительный набор на очное обучение"
"455","22 АВГ 2023","С Днем Государственного флага Российской Федерации!"
"456","22 АВГ 2023","Летние спортивные итоги"
"457","21 АВГ 2023","Идем на Восток: ЗабГУ объявил о старте программ по усиленной подготовке китаистов и..."
"458","21 АВГ 2023","ЗабГУ объявляет дополнительный набор по ряду специальностей"
"459","21 АВГ 2023","Сотрудники регионального центра инклюзивного образования ЗабГУ проведут..."
"460","21 АВГ 2023","Экскурсия в Музей Декабристов для участников смены Летней горной школы"
"461","21 АВГ 2023","Учёные ЗабГУ приняли участие в Международном буддийском форуме"
"462","21 АВГ 2023","Денежные выплаты студентам"
"463","20 АВГ 2023","Что делать первокурснику в день заселения?"
"464","18 АВГ 2023","Второй день Международного буддийского форума"
"465","18 АВГ 2023","С днём географа!"
"466","18 АВГ 2023","Продолжаем следить за событиями I Международного буддийского форума, на который..."
"467","17 АВГ 2023","«ЗабГУ-МФТИ-Highland Gold»: трёхстороннее партнёрство в действии!"
"468","17 АВГ 2023","Для 36-ти школьников и студентов из Читы и районов края каникулы проходят интересно..."
"469","17 АВГ 2023","ЗабГУ выходит на новую международную площадку!"
"470","17 АВГ 2023","«Игры Будущего 2024» набирают волонтеров!"
"471","17 АВГ 2023","На момент 1 сентября вам будет 17 лет и вы заселяетесь в общежитие? Тогда этот пост..."
"472","16 АВГ 2023","Масштабные проекты готовит ЗабГУ в честь празднования 300-летия горного образования!"
"473","16 АВГ 2023","Господдержка на обучение"
"474","16 АВГ 2023","Несмотря на летние каникулы, молодые учёные ЗабГУ не покидают лаборатории"
"475","16 АВГ 2023","График заселения в общежитие для первокурсников"
"476","16 АВГ 2023","Спортивные праздники по настольным и напольным спортивным играм «Игры народов мира»"
"477","16 АВГ 2023","Площадка РЦИО ЗабГУ по настольным спортивным играм на фестивале «Семейная команда»"
"478","16 АВГ 2023","Активные игры, полезные навыки и хорошее настроение подарили читинцам специалисты..."
"479","16 АВГ 2023","Преподавателей ЗабГУ пригласили поучаствовать в образовательной конференции цикла..."
"480","15 АВГ 2023","Выпускница ЗабГУ, повысившая квалификацию в рамках программы Приоритет 2030,..."
"481","14 АВГ 2023","Освоить востребованную профессию, выучить несколько языков, поучиться в Китае и..."
"482","14 АВГ 2023","Приоритет2030: студенты ЗабГУ осваивают процессы трёхмерного моделирования..."
"483","14 АВГ 2023","Студенты ЗабГУ теперь могут освоить дополнительные профессии - оружейное и..."
"484","14 АВГ 2023","Студенты ЗабГУ торжественно встречают в аэропорту бойцов, прибывших на Родину с..."
"485","11 АВГ 2023","Семинар-совещание Всероссийского студенческого корпуса спасателей"
"486","11 АВГ 2023","Виктору Жановичу Аренсу исполняется 90 лет"
"487","11 АВГ 2023","Как сэкономить, если поступил на внебюджет? Рассказываем, кто и какие скидки может..."
"488","10 АВГ 2023","Помощь фронту"
"489","10 АВГ 2023","Новое поколение талантов"
"490","10 АВГ 2023","Общежития Забайкальского государственного университета готовятся принимать жильцов"
"491","9 АВГ 2023","Денис Кочев — молодой учёный нашего университета, который уже вносит вклад в..."
"492","9 АВГ 2023","Университет «Сириус» приглашает студентов со всей России на бесплатные..."
"493","9 АВГ 2023","Челлендж для студентов от команды Дзена"
"494","9 АВГ 2023","Студент? Аспирант? Молодой учёный? — подавай заявку на Менделеевскую карту"
"495","8 АВГ 2023","Приглашаем поступить на классическую психологию"
"496","8 АВГ 2023","Баннеры с фотографиями победителей конкурса ""Родина малая моя!"""
"497","8 АВГ 2023","Мечта Юлии Семеновой из забайкальского села Сохондо сбылась – сегодня она стала..."
"498","7 АВГ 2023","Проект преподавателей ЗабГУ и учителей школ города Читы стал лидером во..."
"499","7 АВГ 2023","Поступил на историко-филологический факультет? Тогда эта информация для тебя!"
"500","6 АВГ 2023","Первый Забайкальский внешнеэкономический форум ""Новые горизонты-2023"""
