"Забайкальский государственный университет"
"id","Дата","Текст"
"72","7 ФЕВ 2024","Забайкальский государственный университет готовится ко Дню Российской науки,..."
"73","7 ФЕВ 2024","МФТИ организует научную школу «Геофизика природных катастроф» для студентов и..."
"74","6 ФЕВ 2024","Выпускной может быть и в феврале!"
"75","6 ФЕВ 2024","Творчество, профессия, индустрия. О современной журналистике идёт речь на..."
"76","6 ФЕВ 2024","Женщина науки"
"77","6 ФЕВ 2024","XXIX Межрегионального конкурса на лучший поэтический перевод среди студентов ссузов..."
"78","5 ФЕВ 2024","В ЗабГУ прошла панельная дискуссия по вопросам развития международного образования."
"79","5 ФЕВ 2024","Говорение, лексика, чтение, страноведение. Уже полгода студенты из Камеруна изучают..."
"80","5 ФЕВ 2024","На кафедре журналистики и СО ЗабГУ подвели итоги краевого конкурса «Забайкалье -..."
"81","2 ФЕВ 2024","В рамках проекта «Будущее с ЗабГУ» в университете провели экскурсию для учащихся..."
"82","2 ФЕВ 2024","В ЗабГУ появилась еще одна площадка для развития технически талантливой молодежи"
"83","2 ФЕВ 2024","День российской науки в ЗабГУ"
"84","2 ФЕВ 2024","День воинской славы России!"
"85","1 ФЕВ 2024","Учимся быть лидерами"
"86","1 ФЕВ 2024","Выборы президента России 2024: что важно знать?"
"87","31 ЯНВ 2024","Внимание, концентрация науки в этом посте – 100%! Собрали дайджест #Молодыеученые..."
"88","30 ЯНВ 2024","Стажеры факультета культуры и искусств ЗабГУ из Китая представят свои работы на..."
"89","30 ЯНВ 2024","Студент ЗабГУ завоевал несколько медалей на международных соревнованиях"
"90","30 ЯНВ 2024","Расскажем о своих героях вместе с ЗабГУ"
"91","30 ЯНВ 2024","В главном корпусе ЗабГУ появился интерактивный баннер Быстры"
"92","29 ЯНВ 2024","Самый крупный университет региона"
"93","29 ЯНВ 2024","Сегодня распахнул двери первый в России Ресурсный центр адаптивных спортивных игр"
"94","29 ЯНВ 2024","8 февраля страна отметит важную дату — День российской науки, и мы спешим..."
"95","27 ЯНВ 2024","872 дня борьбы и надежды: о подвиге ленинградцев-блокадников рассказали студентам и..."
"96","26 ЯНВ 2024","Оценили лаборатории Горной академии и аудитории строительного факультета. В ЗабГУ в..."
"97","26 ЯНВ 2024","ПАО «ТГК-14» стало партнером проекта Забайкальской малой академии наук «Школа..."
"98","26 ЯНВ 2024","Новые возможности для сообщества ЗабГУ"
"99","26 ЯНВ 2024","Преподаватели и студенты психолого-педагогического факультета ЗабГУ приняли участие..."
"100","26 ЯНВ 2024","Школьники из Бурятии приехали, чтобы узнать больше о технических специальностях ЗабГУ"
"101","25 ЯНВ 2024","Фестивале, посвящённый Дню студента"
"102","25 ЯНВ 2024","Глава Минобрнауки Валерий Фальков поздравил студентов с праздником"
"103","25 ЯНВ 2024","Команда ЗабГУ ""Без грани"" - в Высшей лиге КВН!"
"104","25 ЯНВ 2024","80 лет прошло с момента снятия блокады с Ленинграда"
"105","25 ЯНВ 2024","Студенты ЗабГУ познакомились с работой народных дружинников"
"106","25 ЯНВ 2024","И. о. ректора ЗабГУ Оксана Мартыненко поздравляет с Днём студента!"
"107","24 ЯНВ 2024","Династии учёных ЗабГУ: семья Романовых"
"108","24 ЯНВ 2024","Будущие психологи посмотрели на свою работу изнутри"
"109","23 ЯНВ 2024","Олимпиада продолжается в ЗабГУ"
"110","23 ЯНВ 2024","Преподаватель ЗабГУ – в суперфинале конкурса «Лидеры России»!"
"111","23 ЯНВ 2024","Ушел из жизни Забелин Сергей Федорович"
"112","22 ЯНВ 2024","Мы продолжаем поздравлять наших аспирантов!"
"113","22 ЯНВ 2024","Историко-филологический факультет ЗабГУ поддержал масштабный выставочно..."
"114","22 ЯНВ 2024","Международная олимпиада в сфере ИКТ «IT-Планета 2024»"
"115","22 ЯНВ 2024","Правила приема и перечень новых образовательных программ для набора 2024 года..."
"116","19 ЯНВ 2024","Нахимичили! В ЗабГУ продолжается региональный этап Всероссийской олимпиады..."
"117","19 ЯНВ 2024","Сегодня один из главных христианских праздников - Крещение Господне!"
"118","19 ЯНВ 2024","Обсуждение по актуальным темам продолжают проводить лекторы Российского общества..."
"119","18 ЯНВ 2024","Первое в 2024 году занятие прошло в ""Школе урбанистики"""
"120","18 ЯНВ 2024","Уникальная аудитория университета хранит историю двух веков"
"121","17 ЯНВ 2024","Молодой преподаватель ЗабГУ Денис Кочев разработал метод спутникового мониторинга..."
"122","17 ЯНВ 2024","Ушёл из жизни Заслуженный мелиоратор РФ – Анатолий Соколов"
"123","17 ЯНВ 2024","Как в театре побывали! В Многопрофильном лицее ЗабГУ прошел творческий зачёт по..."
"124","16 ЯНВ 2024","Как получить повышенную государственную стипендию"
"125","16 ЯНВ 2024","Составили план работы, поздравили руководителя"
"126","15 ЯНВ 2024","Сегодня в стране отмечается День образования Следственного комитета Российской..."
"127","15 ЯНВ 2024","О России с душой и смыслом! Российское общество «Знание» запустило программу «Лига..."
"128","14 ЯНВ 2024","В ЗабГУ прошла панельная дискуссия о развитии высшего образования в Забайкалье"
"129","13 ЯНВ 2024","Новые возможности"
"130","13 ЯНВ 2024","Сегодня в России отмечается День печати!"
"131","12 ЯНВ 2024","На онлайн-платформе Знание.Академия открылся бесплатный курс «Профилактика игровой..."
"132","12 ЯНВ 2024","Российское общество «Знание» стало партнером курса «Россия — мои горизонты» для..."
"133","12 ЯНВ 2024","В день Российской печати на свой День рождения собирает родных и близких доцент..."
"134","12 ЯНВ 2024","Иностранные студенты ЗабГУ показали отличные знания русского"
"135","11 ЯНВ 2024","Заместитель декана социологического факультета, доцент кафедры социальной работы..."
"136","11 ЯНВ 2024","Сегодня Международный день «Спасибо»"
"137","11 ЯНВ 2024","Преподаватели ЗабГУ выпустили уникальное учебное пособие, которое поможет с..."
"138","10 ЯНВ 2024","В ЗабГУ появится 11 новых образовательных программ высшего и дополнительного..."
"139","10 ЯНВ 2024","Достижения вуза"
"140","10 ЯНВ 2024","Долгожданные итоги конкурса видеопоздравлений!"
"141","10 ЯНВ 2024","Заслуженная награда"
"142","9 ЯНВ 2024","Региональный этап Всероссийской олимпиады школьников пройдет в Забайкальском..."
"143","9 ЯНВ 2024","Включаемся в работу и учебу после новогодних праздников: как плавно вернуть себя в..."
"144","9 ЯНВ 2024","Ушла из жизни Наталья Николаевна Мохова"
"145","7 ЯНВ 2024","ЗабГУ поздравляет с Рождеством!"
"146","6 ЯНВ 2024","Учёные ЗабГУ представили прототип новейшего контроллера энергосбережения на основе..."
"147","6 ЯНВ 2024","Быстринский ГОК: сотрудничество с ЗабГУ позволяет удерживать талантливых и..."
"148","5 ЯНВ 2024","География иностранных студентов расширяется в ЗабГУ"
"149","5 ЯНВ 2024","Новый год – новые возможности"
"150","29 ДЕК 2023","ЗабГУ и Highland Gold расширили возможности образования в 2023 году"
"151","29 ДЕК 2023","Первое Рождество в России"
"152","28 ДЕК 2023","""Новогодняя матрёшка"": фестиваль адаптивных настольных спортивных игр..."
"153","28 ДЕК 2023","Завершилось последнее в этом году обучение в Школе инклюзивного волонтерства,..."
"154","28 ДЕК 2023","Удоканская медь усилит поддержку образовательных проектов с ЗабГУ"
"155","26 ДЕК 2023","Студенты ЗабГУ и ЧТОТиБ создают новый облик школ №6 и №40 Читы в рамках..."
"156","25 ДЕК 2023","Ученые из Забайкалья разрабатывают новые материалы для полупроводникового..."
"157","23 ДЕК 2023","Песня покорила сердца жюри конкурса «Памяти героев верны!»"
"158","22 ДЕК 2023","В ЗабГУ прошло награждение победителей и призеров региональной научной конференции..."
"159","22 ДЕК 2023","Свет и радость, а еще тепло они приносят людям. Сегодня профессиональный праздник..."
"160","22 ДЕК 2023","Акулы пера, голоса и картинки собрались на кафедре журналистики и связей с..."
"161","21 ДЕК 2023","Итоговая встреча «Школы наставников»"
"162","21 ДЕК 2023","В ЗабГУ стартовал приём документов на стипендии Уваровых"
"163","21 ДЕК 2023","Забайкальский государственный университет и НИУ ВШЭ провели стратсессию по..."
"164","21 ДЕК 2023","Ученые ЗабГУ изобрели уникальную установку обеззараживания воды"
"165","21 ДЕК 2023","Крупнейший университет региона, колыбель науки, альма-матер для большинства..."
"166","20 ДЕК 2023","Тренировка для жизни. Штабная тренировка по гражданской обороне прошла в ЗабГУ"
"167","20 ДЕК 2023","Студенты могут стать участниками проекта ""Менделеевская карта"""
"168","19 ДЕК 2023","IX конкурс «Хрустальное сердце Забайкалья»"
"169","19 ДЕК 2023","Признать особый статус педагогических работников, в том числе тех, кто занимается..."
"170","18 ДЕК 2023","Участвуй в конкурсе ЗабГУ, получай призы от партнёров вуза!"
"171","18 ДЕК 2023","Грани взаимодействия"
"172","18 ДЕК 2023","Математический Кот раздал подарки победителям"
"173","18 ДЕК 2023","«Краеведческие чтения – 2023» прошли в ЗабГУ"
"174","17 ДЕК 2023","Концерт, посвященный Дню горняка и Святой Варвары, прошел в Горной академии ЗабГУ"
"175","17 ДЕК 2023","Трижды победительница"
"176","15 ДЕК 2023","Новости партнёров. #ПоколениеБЫСТРЫх 2.0 подвели итоги уходящего года"
"177","15 ДЕК 2023","Забайкальские студенты обучают китайских русскому языку и традициям"
"178","15 ДЕК 2023","Площадка для получения дополнительного образования скоро появится на веб-портале ЗабГУ"
"179","15 ДЕК 2023","Пять университетов Дальнего Востока объединят усилия над программой по переработке..."
"180","14 ДЕК 2023","Противодействие террору"
"181","14 ДЕК 2023","ЗабГУ — в призёрах!"
"182","14 ДЕК 2023","Исследования на золоотвалах Забайкалья могут открыть новые материалы для..."
"183","13 ДЕК 2023","Студенты ЗабГУ готовятся к сессии. Как на нее настроиться? Рассказывает психолог..."
"184","13 ДЕК 2023","Экскурсия, о которой мечтает каждый будущий таможенник! Студенты международного..."
"185","13 ДЕК 2023","Конституционный диктант"
"186","13 ДЕК 2023","Посмотреть на журналистику и пиар под другим углом. ЗабГУ приглашает на..."
"187","13 ДЕК 2023","Заведующий кафедрой подземной разработки месторождений полезных ископаемых ЗабГУ..."
"188","13 ДЕК 2023","Археологические экспедиции ЗабГУ обнаружили новые артефакты Древнего Забайкалья."
"189","12 ДЕК 2023","Университеты-участники дальневосточного трека программы «Приоритет 2030»..."
"190","12 ДЕК 2023","Ушла их жизни Ханчук Надежда Николаевна"
"191","12 ДЕК 2023","Инклюзивные практики"
"192","12 ДЕК 2023","Мастер-класс по созданию окопных свечей провели волонтёры отряда ЗабГУ «ZoVсердца»"
"193","12 ДЕК 2023","В Забайкалье запустили полигон для испытания передовых солнечных панелей"
"194","12 ДЕК 2023","Любовь к Чите в каждом слове - на русском, английском и китайском"
"195","12 ДЕК 2023","30 лет со Дня принятия Конституции России отметили в ЗабГУ"
"196","11 ДЕК 2023","Высшему музыкальному образованию ЗабГУ исполнилось 25 лет!"
"197","11 ДЕК 2023","Расширяем границы вместе"
"198","11 ДЕК 2023","Конференция «Цифровизация высшего образования: государство, бизнес и наука»"
"199","11 ДЕК 2023","Церемония открытия 10-го Фестиваля китайской культуры Хэйлунцзянском институте..."
"200","9 ДЕК 2023","Дмитрий Путютин, первокурсник кафедры МПиМС, стал победителем конкурса молодёжных..."
"201","8 ДЕК 2023","Работа, которая сама идет к тебе, мечта или реальность?"
"202","7 ДЕК 2023","Более 600 выступлений, 12 тысяч слушателей и порядка 40 лекторов – результаты..."
"203","7 ДЕК 2023","Мы продолжаем рассказывать о Международном студенческом фестивале, который проходит..."
"204","7 ДЕК 2023","Выпускники Многопрофильного Лицея ЗабГУ написали итоговое сочинение по литературе"
"205","7 ДЕК 2023","Партнер ЗабГУ, компания ""Удоканская медь"" стала победителем премии..."
"206","6 ДЕК 2023","Спортсмены из 15 стран приедут на международные соревнования по стрельбе из лука на..."
"207","6 ДЕК 2023","Школа наставников в Агинском"
"208","6 ДЕК 2023","А ты будешь поступать в ЗабГУ? Наш университет продолжает профориентационную..."
"209","6 ДЕК 2023","На факультете экономики и управления ЗабГУ стартовали курсы повышения квалификации..."
"210","5 ДЕК 2023","В кинотеатрах Читы покажут китайские фильмы. Вход свободный."
"211","5 ДЕК 2023","Специалисты РЦИО ЗабГУ приняли участие в международном научном собрании"
"212","5 ДЕК 2023","Диалог на трех языках"
"213","5 ДЕК 2023","Курсы повышения квалификации по направлению «Таможенное дело» проходят в ЗабГУ"
"214","5 ДЕК 2023","Как сделать процесс добычи минералов экологически чистым? Обсудили учёные и..."
"215","5 ДЕК 2023","""Отрадно, что Президент России поддержал нашу идею"". Интервью с..."
"216","4 ДЕК 2023","Фольклорный ансамбль «Здравица» и театр танца, огня и света «ALIVE FIRE» представят..."
"217","4 ДЕК 2023","В ЗабГУ стартовала Декада русского языка, посвященная 130-летию со Дня рождения..."
"218","4 ДЕК 2023","В ЗабГУ стартовал набор студентов на стажировки в органах исполнительной власти."
"219","1 ДЕК 2023","Выставка «Обыкновенный нацизм» затронула души читинцев"
"220","1 ДЕК 2023","Профилактика – главная защита. Студентам ЗабГУ рассказали, как уберечь себя от ВИЧ"
"221","1 ДЕК 2023","Ушла из жизни Кадашникова Эльвира Баирбиликтовна"
"222","30 НОЯ 2023","Сегодня завершается конкурс профессионального педагогического мастерства ""..."
"223","30 НОЯ 2023","«Университетская смена» подошла к концу! Старшеклассники из Старобешевского района..."
"224","30 НОЯ 2023","Открытое письмо профессора Клименко Татьяны Константиновны"
"225","30 НОЯ 2023","ФИЗИКО-МАТЕМАТИЧЕСКОМУ ОБРАЗОВАНИЮ в ЗабГУ – 85 ЛЕТ!"
"226","30 НОЯ 2023","Мемориальная доска с именами героев останется на прежнем месте!"
"227","29 НОЯ 2023","Систему горного образования трансформируют на Дальнем Востоке"
"228","29 НОЯ 2023","Студентка 1 курса факультета строительства и экологии ЗабГУ Алина Переверзева стала..."
"229","29 НОЯ 2023","Новые совместные проекты Забайкальского госуниверситета и Маньчжурского института..."
"230","27 НОЯ 2023","В ЗабГУ открылась выставка «Обыкновенный нацизм»"
"231","27 НОЯ 2023","К научному консорциуму Россия - Китай присоединятся пять новых вузов КНР"
"232","27 НОЯ 2023","Профессия педагога престижна - доказывают будущие учителя на фестивале «Ступени..."
"233","27 НОЯ 2023","Отправь письмо солдату! Акция «Пишу тебе, герой» продолжается в ЗабГУ!"
"234","27 НОЯ 2023","Всероссийский форум инклюзивного высшего образования «Инклюзия в фокусе..."
"235","24 НОЯ 2023","Каждый день – новые впечатления и знания. Все это про «Университеткую смену» для..."
"236","24 НОЯ 2023","ЗабГУ присоединился к проектно-аналитической сессии «Образ будущего уже в наших..."
"237","24 НОЯ 2023","Каково вставать за кафедру, когда ученики тебя принимают за студента. История..."
"238","24 НОЯ 2023","До Окружного конкурса профессионального педагогического мастерства ""Ступени..."
"239","23 НОЯ 2023","Приглашаем всех студентов Читы принять участие в очередной игре Забайкальской..."
"240","23 НОЯ 2023","Познакомились с природой Забайкалья и угадывали профессии современности - каким был..."
"241","23 НОЯ 2023","Традиционные «Кулагинские чтения» пройдут в ЗабГУ"
"242","22 НОЯ 2023","В Харбине обсудили расширение научного сотрудничества ЗабГУ с Китаем"
"243","22 НОЯ 2023","75-лений юбилей Михаила Васильевича Константинова"
"244","22 НОЯ 2023","Команда Горной академии ЗабГУ выиграла 6-ую Международную олимпиаду по..."
"245","22 НОЯ 2023","С историей становления краевой прокуратуры познакомились студенты Международного..."
"246","22 НОЯ 2023","Песни на трех языках"
"247","22 НОЯ 2023","Проект первой на Дальнем Востоке Горной Академии представили Юрию Трутневу"
"248","21 НОЯ 2023","О вечной любви к науке, людям и родному университету рассказала Лидия Бордонская –..."
"249","20 НОЯ 2023","Департамент внешних и внутренних коммуникаций ЗабГУ приглашает медиаволонтеров"
"250","20 НОЯ 2023","Кто лучше всех знает материки и океаны? В ЗабГУ прошел географический диктант"
"251","20 НОЯ 2023","«Социальная работа с участниками СВО и членами их семьи». ЗабГУ проводит курсы"
"252","20 НОЯ 2023","Соглашение о сотрудничестве ЗабГУ с краевой администрацией"
"253","19 НОЯ 2023","Глава Минобрнауки России Валерий Фальков поздравил преподавателей вузов с..."
"254","19 НОЯ 2023","Михаил Мишустин поздравил преподавателей высшей школы с профессиональным праздником"
"255","17 НОЯ 2023","Студенты и преподаватели Горной Академии ЗабГУ будут получать именные стипендии от..."
"256","17 НОЯ 2023","ЗабГУ с 2023 присоединился к участию в стипендиальной программе для студентов..."
"257","16 НОЯ 2023","Панельная дискуссия в рамках работы Международной выставки-форума ""Россия"""
"258","15 НОЯ 2023","Встреча с руководителем ЗабРО ВОО «Союз добровольцев России»"
"259","15 НОЯ 2023","Выставка «Обыкновенный нацизм»"
"260","14 НОЯ 2023","Математический флешмоб MathCat"
"261","14 НОЯ 2023","В ЗабГУ стартовала Неделя социологии"
"262","13 НОЯ 2023","Заместитель декана социологического факультета прошла обучение по федеральной..."
"263","13 НОЯ 2023","В ЗабГУ состоялась уже традиционная встреча ректора с первокурсниками, имеющими..."
"264","13 НОЯ 2023","Международная выставка-форум «Россия»"
"265","13 НОЯ 2023","Русские олимпиады за рубежом: ЗабГУ провел конкурсы знаний в Монголии"
"266","10 НОЯ 2023","Участник Школы молодых педагогов - Людмила Шишмарева"
"267","10 НОЯ 2023","Всероссийский телемост ""Мир познаем, играя: современные игрушки детей - какие..."
"268","10 НОЯ 2023","Всероссийская научно-практическая конференция «Семья и школа в духовно-нравственном..."
"269","9 НОЯ 2023","Конкурс инициатив ЗабГУ"
"270","9 НОЯ 2023","Школа наставников побывала в Сретенском районе"
"271","9 НОЯ 2023","Просветительский марафон ""Знание.Первые"""
"272","8 НОЯ 2023","Строим будущее вместе"
"273","8 НОЯ 2023","Социологический диктант"
"274","8 НОЯ 2023","Стартовал стипендиальный конкурс 2023/24 Фонда Потанина"
"275","3 НОЯ 2023","Просветительская акция ""Географический диктант"""
"276","3 НОЯ 2023","Студент второго курса принял участие в международной научно-практической..."
"277","3 НОЯ 2023","""Университет - ГОК"": ЗабГУ соединяет образование и практику"
"278","2 НОЯ 2023","Ступени мастерства – 2023"
"279","2 НОЯ 2023","Мастер-класс на тему: «Китайская поэзия: история и современность»"
"280","2 НОЯ 2023","Стартовал студенческий бизнес-фестиваль"
"281","2 НОЯ 2023","Всемирный фестиваль Молодежи 2024"
"282","2 НОЯ 2023","Ушла из жизни Титова Людмила Андреевна"
"283","2 НОЯ 2023","Реализация проекта РНФ: Плаксинские чтения – 2023"
"284","1 НОЯ 2023","«Пишу тебе, Герой!»"
"285","1 НОЯ 2023","250-летний юбилей Санкт-Петербургского горного университета"
"286","1 НОЯ 2023","Центр компетенций провел день открытых дверей в Республике Бурятия"
"287","1 НОЯ 2023","6 краевой интегрированный турнир по Бочче на кубок Губернатора Забайкальского края"
"288","31 ОКТ 2023","Красота своими силами"
"289","31 ОКТ 2023","Преподаватели ЗабГУ заняли призовые места во Всероссийском смотре-конкурсе..."
"290","31 ОКТ 2023","Ежегодная акция «Большой этнографический диктант»"
"291","30 ОКТ 2023","Департамент внешних и внутренних коммуникаций ЗабГУ приглашает медиаволонтеров"
"292","30 ОКТ 2023","Педагогический лабораториум, посвященный Иннокентию Николаевичу Жукову"
"293","30 ОКТ 2023","Торжественное мероприятие, посвященное 85-летию историко-филологического факультета"
"294","30 ОКТ 2023","Научно-практическая конференция ""СЕМЬЯ И ШКОЛА В ДУХОВНО-НРАВСТВЕННОМ..."
"295","29 ОКТ 2023","Обзор событий ЗабГУ"
"296","27 ОКТ 2023","""Мы не ожидали от Забайкальского края такого приёма и тех ярких впечатлений,..."
"297","27 ОКТ 2023","ЗабГУ познакомит студентов ведущих российских вузов с потенциалом горной отрасли..."
"298","26 ОКТ 2023","Трехдневное погружение в мир данных!"
"299","26 ОКТ 2023","Иркутск, Хабаровск, Владикавказ, Екатеринбург, Чита — такова география..."
"300","26 ОКТ 2023","СТУДЕНЧЕСКИЙ БИЗНЕС ФЕСТИВАЛЬ 2023"
"301","26 ОКТ 2023","Выбор профессиональной траектории"
"302","25 ОКТ 2023","Работа Забайкальской медиашколы, которую проводит кафедра журналистики и СО ЗабГУ,..."
"303","24 ОКТ 2023","Обзор событий ЗабГУ"
"304","23 ОКТ 2023","Кошачье УЗИ, тест на дальтонизм и чай с жидким азотом – всё это «Наука 0+»! Как..."
"305","23 ОКТ 2023","Два диплома при выпуске"
"306","23 ОКТ 2023","Специальный выпуск газеты ""Университет"" в честь 30-летия Лицея"
"307","23 ОКТ 2023","От теории к практике"
"308","20 ОКТ 2023","Сверхновый взгляд на методы работы с персоналом! Лучшими практиками поделились..."
"309","20 ОКТ 2023","Программист может быть … психологом? И даже экологом?"
"310","20 ОКТ 2023","«Университет - это люди». Ключевые векторы развития Забайкальского государственного..."
"311","19 ОКТ 2023","Инклюзивный фестиваль «Шаг навстречу»"
"312","19 ОКТ 2023","Всероссийский День лицеиста отмечается сегодня. Поздравляем Многопрофильный Лицей..."
"313","19 ОКТ 2023","Лаборатория термоэлектрического материаловедения ЗабГУ - 20 лет открытий"
"314","19 ОКТ 2023","В Чите стартует фестиваль НАУКА 0+"
"315","18 ОКТ 2023","ЗабГУ не только учит, но и учится. Причём форм образования великое множество. О..."
"316","18 ОКТ 2023","Международная выставка графики: от идеи до открытия нового арт-пространства"
"317","17 ОКТ 2023","Открытие Международной выставки графики свершилось!"
"318","17 ОКТ 2023","День открытых дверей для участников СВО и их семей прошел в Забайкальской Краевой..."
"319","17 ОКТ 2023","Фестиваль НАУКА 0+ в Забайкальском крае"
"320","16 ОКТ 2023","А вы умеете говорить на языке программирования?"
